# Execution 1: Jab Speed Scaling Test (10.0, 20.0, 25.0 rad/s)
arm,name,speed,mode,wu_ap,ap_wu,total,pk_rpm,pk_rad_s,avg_rad_s,m1_pk,m2_pk,m3_pk,m4_pk,m1_avg,m2_avg,m3_avg,m4_avg,m1_pk_W,m2_pk_W,m3_pk_W,m4_pk_W,m1_avg_W,m2_avg_W,m3_avg_W,m4_avg_W,total_pk_W,total_avg_W,status
RIGHT,Cross,25.0,Waypoints,0.651,0.632,1.283,828,86.7,10.1,0.26,0.21,0.78,0.55,0.24,0.20,0.27,0.21,6.2,5.0,18.7,13.2,5.8,4.8,6.5,5.0,43.2,22.1,OK
RIGHT,Cross,25.0,Waypoints,0.685,0.571,1.256,952,99.7,9.9,0.26,0.21,0.73,0.55,0.24,0.19,0.26,0.25,6.2,5.0,17.5,13.2,5.8,4.6,6.2,6.0,42.0,22.6,OK
RIGHT,Cross,25.0,Waypoints,0.617,0.566,1.184,641,67.1,10.1,0.26,0.21,0.57,0.56,0.25,0.20,0.28,0.24,6.2,5.0,13.7,13.4,6.0,4.8,6.7,5.8,38.4,23.3,OK
RIGHT,Cross,25.0,Waypoints,0.643,0.578,1.222,388,40.7,9.0,0.25,0.19,0.47,0.66,0.23,0.19,0.18,0.21,6.0,4.6,11.3,15.8,5.5,4.6,4.3,5.0,37.7,19.4,OK
RIGHT,Cross,25.0,Waypoints,0.661,0.670,1.331,1986,208.0,10.8,0.26,0.19,1.23,0.58,0.24,0.19,0.21,0.19,6.2,4.6,29.5,13.9,5.8,4.6,5.0,4.6,54.2,19.9,OK
RIGHT,Cross,25.0,Waypoints,0.628,0.572,1.200,1818,190.4,11.0,0.25,0.22,1.25,0.63,0.23,0.21,0.35,0.21,6.0,5.3,30.0,15.1,5.5,5.0,8.4,5.0,56.4,24.0,OK
RIGHT,Right Hook,25.0,Waypoints,0.670,0.619,1.289,345,36.2,6.8,0.25,0.21,0.42,0.74,0.23,0.20,0.24,0.26,6.0,5.0,10.1,17.8,5.5,4.8,5.8,6.2,38.9,22.3,OK
RIGHT,Right Hook,25.0,Waypoints,0.639,0.609,1.248,278,29.2,7.0,0.26,0.22,0.63,0.80,0.24,0.21,0.33,0.33,6.2,5.3,15.1,19.2,5.8,5.0,7.9,7.9,45.8,26.6,OK
RIGHT,Right Hook,25.0,Waypoints,0.642,0.583,1.225,548,57.4,7.2,0.25,0.19,0.74,0.72,0.24,0.19,0.23,0.31,6.0,4.6,17.8,17.3,5.8,4.6,5.5,7.4,45.6,23.3,OK
RIGHT,Right Hook,25.0,Waypoints,0.631,0.587,1.217,291,30.4,6.9,0.25,0.20,0.66,0.90,0.24,0.19,0.37,0.37,6.0,4.8,15.8,21.6,5.8,4.6,8.9,8.9,48.2,28.1,OK
